ID,YLD_BUPA,TW_LBBU,HD_JUL,HT_IN,PMD09,LFRUST09,FHB09
LINE37,80.44,55.51,118.16,32.35,1.56,1.13,NA
LINE370,84.81,58.26,114.43,34.39,1.04,2.32,1.50
LINE371,77.03,59.10,114.19,36.95,1.46,2.09,NA
LINE372,76.40,57.77,115.28,33.50,0.96,1.59,NA
LINE373,79.51,58.98,115.48,34.01,5.54,1.32,1.50
LINE374,NA,NA,117.45,35.20,4.30,0.00,4.50
LINE375,79.57,59.23,111.33,34.87,3.29,1.32,3.00
LINE376,NA,NA,115.95,36.20,3.80,0.00,5.00
LINE377,NA,NA,116.45,31.70,1.30,0.14,6.50
LINE378,78.01,58.31,119.01,34.27,2.29,0.95,2.50
LINE379,NA,NA,115.95,30.70,1.30,0.00,4.50
LINE38,71.31,57.89,118.63,34.06,NA,1.81,NA
LINE380,87.07,58.41,117.52,32.84,2.65,NA,5.00
LINE381,79.10,55.84,116.71,33.38,2.65,NA,5.50
LINE382,NA,NA,119.45,32.70,1.30,1.64,5.50
LINE383,81.42,57.05,120.06,32.50,0.00,NA,5.50
LINE384,71.30,56.91,119.77,31.79,0.32,NA,5.00
LINE385,81.01,55.77,119.30,34.10,0.99,NA,5.00
LINE386,74.59,54.53,116.07,32.24,0.15,NA,5.00
LINE387,73.63,54.26,117.08,34.13,2.32,NA,5.50
LINE388,83.18,58.08,120.90,33.13,0.99,NA,5.00
LINE389,81.49,57.85,118.40,30.91,1.32,NA,5.00
LINE39,76.56,56.32,119.49,30.89,NA,1.81,NA
LINE390,85.34,57.12,117.28,34.49,NA,0.81,NA
LINE391,86.01,58.13,117.31,33.78,NA,0.81,NA
LINE392,88.66,58.92,116.86,35.23,NA,1.31,NA
LINE393,79.83,57.08,116.95,34.98,NA,0.81,NA
LINE394,86.02,57.46,119.55,31.30,1.56,1.63,NA
LINE395,82.90,56.98,117.64,35.62,1.56,1.13,NA
LINE396,87.44,57.37,118.32,35.84,2.27,1.63,NA
LINE397,85.83,56.63,118.80,35.90,1.56,1.63,NA
LINE398,82.47,57.53,117.02,34.52,1.56,1.63,NA
LINE399,78.41,57.73,117.58,34.91,1.56,1.13,NA
LINE4,80.85,57.44,119.44,32.24,2.65,NA,4.50
LINE40,78.25,58.81,120.31,32.90,NA,0.81,NA
LINE400,84.09,57.23,118.07,31.66,1.52,1.63,NA
LINE401,78.73,60.29,117.28,36.33,1.56,3.13,NA
LINE402,82.31,57.54,118.62,34.90,1.56,1.13,NA
LINE403,89.18,59.30,117.86,33.55,3.98,NA,NA
LINE404,89.09,58.34,117.82,35.50,2.98,NA,NA
LINE405,91.78,58.11,120.26,37.78,0.98,NA,NA
LINE406,90.03,57.33,119.46,36.02,2.98,NA,NA
LINE407,72.34,53.25,116.58,33.38,3.48,NA,NA
LINE408,88.51,55.97,117.82,34.40,4.48,NA,NA
LINE409,80.03,56.36,118.83,33.16,0.00,NA,NA
LINE41,72.11,56.37,118.10,32.19,NA,2.81,NA
LINE410,71.92,55.14,117.00,35.05,5.48,NA,NA
LINE411,76.74,57.90,117.60,32.93,0.71,2.44,1.00
LINE412,67.46,55.25,122.89,34.65,1.29,3.95,1.00
LINE413,NA,NA,119.95,34.20,1.30,1.64,4.00
LINE414,79.42,56.65,117.28,35.11,1.46,3.59,NA
LINE415,74.53,57.22,114.62,33.58,1.79,5.07,1.50
LINE416,79.14,57.29,115.69,34.19,0.96,1.59,NA
LINE417,78.59,58.54,116.33,34.99,0.96,2.09,NA
LINE418,NA,NA,115.95,36.20,1.30,4.14,3.50
LINE419,NA,NA,120.20,40.20,1.30,4.64,6.00
LINE42,62.46,53.54,117.14,37.50,1.89,0.89,NA
LINE420,82.25,56.09,117.54,35.19,4.15,NA,5.00
LINE421,70.04,56.70,122.69,32.11,5.79,4.95,2.00
LINE422,81.75,58.50,119.48,35.77,0.99,NA,4.50
LINE423,80.52,58.67,117.26,35.29,1.15,NA,5.50
LINE424,68.78,57.42,120.04,35.76,NA,1.81,NA
LINE425,62.89,55.64,121.83,34.82,5.54,6.57,0.50
LINE426,69.76,56.35,118.26,36.99,4.54,3.82,1.50
LINE427,62.83,54.68,120.04,36.23,0.00,6.57,2.50
LINE428,77.86,57.84,118.75,34.49,NA,5.81,NA
LINE429,72.19,56.37,119.34,35.34,NA,2.31,NA
LINE43,75.31,55.72,116.76,34.67,2.05,6.39,NA
LINE430,85.44,59.84,117.32,35.61,1.82,NA,5.00
LINE431,83.07,55.03,119.64,34.16,NA,4.31,NA
LINE432,69.34,57.79,121.36,33.67,NA,2.31,NA
LINE433,77.34,56.95,119.21,34.40,NA,0.81,NA
LINE434,75.33,55.45,120.37,31.48,NA,2.81,NA
LINE435,73.91,57.23,117.57,37.83,NA,4.31,NA
LINE436,70.98,55.89,120.45,28.92,NA,2.31,NA
LINE437,77.33,55.43,122.50,32.93,NA,4.31,NA
LINE438,80.81,57.99,120.33,34.79,2.65,NA,5.00
LINE439,77.54,57.50,117.99,33.66,NA,2.31,NA
LINE44,46.41,55.67,113.64,35.07,0.55,6.89,NA
LINE440,75.28,57.95,117.60,31.26,NA,0.81,NA
LINE441,75.92,57.58,123.35,32.87,NA,1.31,NA
LINE442,82.27,59.54,119.24,36.52,3.65,NA,4.00
LINE443,79.75,55.53,119.44,35.40,3.99,NA,3.00
LINE444,78.94,57.03,115.86,35.49,3.49,NA,5.00
LINE445,79.48,58.44,120.24,36.61,3.98,NA,NA
LINE446,78.79,57.94,118.67,35.66,5.06,4.63,NA
LINE447,77.48,56.05,118.24,32.85,1.56,5.13,NA
LINE448,80.45,57.50,117.93,32.50,2.52,7.63,NA
LINE449,86.30,59.37,119.34,34.55,0.15,NA,4.50
LINE45,59.37,56.61,121.14,32.14,0.39,0.64,NA
LINE450,86.88,59.30,120.05,33.54,0.00,NA,4.00
LINE451,76.42,56.99,119.46,31.67,3.98,NA,NA
LINE452,78.30,55.43,119.48,30.77,4.98,NA,NA
LINE453,73.17,55.09,119.12,35.57,1.56,1.63,NA
LINE454,87.32,58.03,117.82,31.82,2.99,NA,4.50
LINE455,87.42,56.68,115.09,32.27,3.82,NA,6.50
LINE456,85.06,55.39,119.34,34.46,1.56,1.13,NA
LINE457,82.29,57.90,119.64,34.25,1.56,1.13,NA
LINE458,83.51,57.71,118.30,32.44,1.98,NA,NA
LINE459,81.31,53.07,119.08,33.94,1.56,1.38,NA
LINE46,76.17,53.61,115.06,33.52,1.85,2.65,NA
LINE460,84.65,57.11,118.42,32.81,0.48,NA,NA
LINE461,86.89,56.56,118.25,32.48,0.00,NA,NA
LINE462,85.20,56.15,119.03,33.70,1.56,1.13,NA
LINE463,86.71,55.52,118.65,35.02,1.56,1.13,NA
LINE464,78.94,56.11,120.13,32.96,1.56,1.13,NA
LINE465,77.59,56.43,119.13,32.05,1.56,8.63,NA
LINE466,85.24,58.18,118.28,33.53,4.32,NA,3.50
LINE467,63.92,59.97,118.52,34.59,3.06,4.63,NA
LINE468,72.21,58.84,119.74,34.72,3.56,1.38,NA
LINE469,76.59,53.84,115.78,31.07,3.98,NA,NA
LINE47,73.39,55.43,114.01,28.33,0.89,1.64,NA
LINE470,77.83,56.78,120.18,33.24,1.48,NA,NA
LINE471,86.98,56.75,119.94,36.42,2.71,4.94,2.00
